Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
3,3,Nike SB Dunk Retro Low Green Apple Unisex Sneakers,268.0,Size: 11,15.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/06/02/6479e277fbae95c1afb8aa36/s_6479e614ffb5d0fd47b43385.jpeg,,
96,49,Nike Air Jordan Retro 1 HIGH OG Next Chapter Spider-verse DV1748-601 Spiderman,219.9,,,https://i.ebayimg.com/thumbs/images/g/crcAAOSwyhVkZW80/s-l300.jpg,Brand New,Brand New
101,54,Nike Air Max 1 Travis Scott Cactus Jack DO9392-701 Fashion Shoes,213.9,,,https://i.ebayimg.com/thumbs/images/g/GBcAAOSw0iJkMEGk/s-l300.jpg,Brand New,Brand New
68,21,NEW Nike Dunk Low Panda Black/White (Size 7 - 13 Mens) / Womens 12 / 10.5,199.99,,,https://i.ebayimg.com/thumbs/images/g/i5IAAOSwJYhjzu-n/s-l300.jpg,Brand New,Brand New
93,46,"New Nike Air Jordan 4 Retro Shoes Infrared (Men's DH6927-061 ,GS 408452-061)",199.99,,,https://i.ebayimg.com/thumbs/images/g/yX4AAOSw2MFkYb0p/s-l300.jpg,Brand New,Brand New
7,7,Nike dunk Casual Sneaker for women,188.0,Size: 8,41.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/06/03/647b306fef1ef7faf19021cb/s_647b50682fbf1adc533056b2.jpeg,,
81,34,Nike Air Jordan 5 Retro SE Craft Light Orewood Brown FD9222-180 Mens New,177.99,,,https://i.ebayimg.com/thumbs/images/g/3m0AAOSwttdkcq1R/s-l300.jpg,Brand New,Brand New
24,24,🍍Nike Dunk Low Triple Pink New Women's pink sports shoes,176.0,Size: Various,8.0,,,
105,58,Nike Air Jordan 11 Retro Low Cement Grey White AV2187-140 Mens New,175.99,,,https://i.ebayimg.com/thumbs/images/g/fUEAAOSwc1pkHZjb/s-l300.jpg,Brand New,Brand New
107,60,Nike JA 1 EP Ja Morant Hunger Royal Blue Red Men Basketball Shoes DR8786-401,174.99,,,https://i.ebayimg.com/thumbs/images/g/WOgAAOSwfsNke~bE/s-l300.jpg,Brand New,Brand New
69,22,Brand New Nike Air Force 1 Low Supreme Black Mens Size 8-12 CU9225-001 Fast Ship,169.99,,,https://i.ebayimg.com/thumbs/images/g/F6wAAOSwy4pkeNW9/s-l300.jpg,Brand New,Brand New
91,44,"Nike Dunk Low Retro Grey Fog DD1391-103 Men Shoes Sneakers Sizes 10, 11, 12, 13",169.95,,,https://i.ebayimg.com/thumbs/images/g/U~8AAOSwI~tkW8f1/s-l300.jpg,Brand New,Brand New
6,6,Nike dunk Casual Sneaker for women,167.0,Size: 8,36.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/06/03/647b304a32518755764a9291/s_647b4b694bf9ff480f1f9514.jpeg,,
21,21,💗🤍NIKE Dunk Low-Top “”Triple Pink“” casual board shoe pink,166.0,Size: Various,17.0,,,
74,27,Nike Mac Attack OG Light Smoke Grey FB8938-001,155.0,,,https://i.ebayimg.com/thumbs/images/g/xIYAAOSw4pRkdoKI/s-l300.jpg,Brand New,Brand New
99,52,Nike Air Jordan 1 Low Black Medium Particle Grey White Men AJ1 Shoes 553558-040,149.99,,,https://i.ebayimg.com/thumbs/images/g/HIMAAOSwdxpkJnLL/s-l300.jpg,Brand New,Brand New
126,79,Nike Air Jordan 1 Mid Space Jam Black Blue White DV1308-004 Mens New,149.75,,,https://i.ebayimg.com/thumbs/images/g/dCAAAOSwFOpkeoRT/s-l300.jpg,Brand New,
122,75,Nike Air Max 2017 Black and White gradient Men's Shoe,149.0,,,https://i.ebayimg.com/thumbs/images/g/zEoAAOSwn9JkLlTr/s-l300.jpg,Brand New,
104,57,Nike Air Jordan 1 Retro High OG Craft Vibrations Of Naija FD8631-100 Mens New,143.99,,,https://i.ebayimg.com/thumbs/images/g/TxgAAOSwNjNkaA6b/s-l300.jpg,Brand New,Brand New
67,20,Nike Dunk Low Panda Size 6 - 15 — DD1391 100 In Hand 100% AUTHENTIC,140.0,,,https://i.ebayimg.com/thumbs/images/g/-vAAAOSwmmNkCyzr/s-l300.jpg,Brand New,Brand New
125,78,"Nike Air Jordan 1 Low Shoes ""True Blue"" White Cement Gray 553558-412 Men's NEW",139.99,,,https://i.ebayimg.com/thumbs/images/g/rj8AAOSwhudkeoO~/s-l300.jpg,Brand New,
64,17,Nike Dunk Low Retro White Black Panda DD1391-100,139.99,,,https://i.ebayimg.com/thumbs/images/g/sREAAOSwJeRgTEC-/s-l300.jpg,Brand New,Brand New
58,11,"Nike Dunk Low Retro Shoes ""Red Panda"" Black White FB3354-001 Men's Sizes NEW",139.9,,,https://i.ebayimg.com/thumbs/images/g/RwMAAOSwCmNkG1f5/s-l300.jpg,Brand New,Brand New
59,12,Nike Dunk Low Retro White Black Panda  WOMENS DD1503-101 MENS DD1391-100,139.0,,,https://i.ebayimg.com/thumbs/images/g/srUAAOSwKXti699K/s-l300.jpg,Brand New,Brand New
72,25,Nike Air Jordan 6 Retro Shoes Toro Bravo Red Black CT8529-600 Men's or GS NEW,135.84,,,https://i.ebayimg.com/thumbs/images/g/4YcAAOSwzl1kbMdy/s-l300.jpg,Brand New,Brand New
123,76,🔥NIKE AIR JORDAN 1 LOW SE CONCORD SPACE JAM DV1309-100 / DV1333-100 MEN/GS NEW,134.99,,,https://i.ebayimg.com/thumbs/images/g/WiYAAOSww75jzuKk/s-l300.jpg,Brand New,
35,35,Nike Air Max 95 OG Colorway Habanero Red Womens NWT,130.0,Size: 8,11.0,,,
61,14,Nike Air Jordan 1 Mid Banned Black Red White 554724-074 Mens and GS New,129.99,,,https://i.ebayimg.com/thumbs/images/g/mw4AAOSw-2JhvrjU/s-l300.jpg,Brand New,Brand New
98,51,Nike Air Max 2017 Men's Sneakers Running Shoes Black 849559 004 Size 8-14,129.99,,,https://i.ebayimg.com/thumbs/images/g/Zb0AAOSwaA5jnh12/s-l300.jpg,Brand New,Brand New
54,7,Nike Dunk Low Retro White Black Panda DD1391-100,129.99,,,https://i.ebayimg.com/thumbs/images/g/sREAAOSwJeRgTEC-/s-l300.jpg,Brand New,Brand New
83,36,"Nike Air Max 1 PRM Shoes ""Escape Treeline"" Slate Blue FJ0698-100 Men's Sizes NEW",129.9,,,https://i.ebayimg.com/thumbs/images/g/5OwAAOSwfRBke2da/s-l300.jpg,Brand New,Brand New
57,10,Nike Air Jordan 5 Retro SE Craft Shoes Orewood Brown FD9222-180 Men's & GS NEW,129.9,,,https://i.ebayimg.com/thumbs/images/g/CigAAOSwijVkb5V0/s-l300.jpg,Brand New,Brand New
73,26,Nike Air Jordan 1 Retro High OG White Cement DZ5485-052 Mens New,128.99,,,https://i.ebayimg.com/thumbs/images/g/UDcAAOSwtWJkbN5p/s-l300.jpg,Brand New,Brand New
97,50,Nike Air Max 1 White Mica Green DZ4549-100 Mens New,125.99,,,https://i.ebayimg.com/thumbs/images/g/FEsAAOSwoSNkXlRK/s-l300.jpg,Brand New,Brand New
102,55,Nike Dunk Low Spray Paint Swoosh Stencil FD0661-100,124.99,,,https://i.ebayimg.com/thumbs/images/g/sq4AAOSwtqFkV96n/s-l300.jpg,Brand New,Brand New
108,61,Nike Dunk Low Industrial Blue Sashiko Mens DV0834-101 NEW,124.99,,,https://i.ebayimg.com/thumbs/images/g/ww4AAOSwhyFj9oh2/s-l300.jpg,Brand New,Brand New
34,34,NIKE Blazer Mid '77 NWT,124.0,Size: 6.5,2.0,,,
86,39,Nike Cortez Midnight Navy Blue White Athletic Sneakers DM4044-400 Mens Size,123.47,,,https://i.ebayimg.com/thumbs/images/g/D48AAOSwZIxkTeQT/s-l300.jpg,Brand New,Brand New
48,1,Nike Dunk Low Retro White Black Panda  WOMENS DD1503-101 MENS DD1391-100,120.0,,,https://i.ebayimg.com/thumbs/images/g/srUAAOSwKXti699K/s-l300.jpg,Brand New,Brand New
118,71,Nike Air Jordan 6 Rings Black Ice White Space Jam Concord 322992-011 Men's Retro,119.99,,,https://i.ebayimg.com/thumbs/images/g/r-QAAOSwK19kfKEz/s-l300.jpg,Brand New,Brand New
111,64,Nike Air Jordan 1 Low Retro True Blue Cement Grey 553560-412 Men's or GS NEW ,119.97,,,https://i.ebayimg.com/thumbs/images/g/TDwAAOSwX3BkB-NI/s-l300.jpg,Brand New,Brand New
120,73,"Nike Air Jordan 1 Mid SE Shoes ""Steel Gray"" White Black DV0427-100 Multi Sizes",119.9,,,https://i.ebayimg.com/thumbs/images/g/dZ4AAOSwlPtkXmKK/s-l300.jpg,Brand New,
95,48,Nike Air Jordan 1 Zoom Air CMFT 2 Shoes Bleached Aqua DV1307-408 Men's Sizes NEW,119.9,,,https://i.ebayimg.com/thumbs/images/g/WA8AAOSw8tJke1~5/s-l300.jpg,Brand New,Brand New
79,32,"Nike Dunk Low Retro PRM Shoes ""Mica Green"" Photon Dust DV7212-300 Mens Sizes NEW",119.9,,,https://i.ebayimg.com/thumbs/images/g/E~8AAOSwkydkeM7I/s-l300.jpg,Brand New,Brand New
112,65,Nike Air Jordan Retro 13 Playoffs Black Red 414571-062 Men's or GS New,117.99,,,https://i.ebayimg.com/thumbs/images/g/fesAAOSw-yFj-tQQ/s-l300.jpg,Brand New,Brand New
100,53,Nike Air Jordan 6 Retro Cool Grey Mens & GS CT8529-100 NEW,110.39,,,https://i.ebayimg.com/thumbs/images/g/OEQAAOSwlUpkAOx1/s-l300.jpg,Brand New,Brand New
75,28,"Nike Air Jordan 1 Low SE Shoes ""Flight Club"" Black Ember DX4334-008 Men's Sizes",109.9,,,https://i.ebayimg.com/thumbs/images/g/mdIAAOSwfKJkfhqK/s-l300.jpg,Brand New,Brand New
53,6,Nike Air Jordan 1 Mid SE Craft Obsidian French Blue DR8868-400 Mens New,108.99,,,https://i.ebayimg.com/thumbs/images/g/GpEAAOSwsPJkeVhV/s-l300.jpg,Brand New,Brand New
63,16,Nike Air Jordan 1 Mid SE Craft Obsidian French Blue DR8868-400 Mens New,108.99,,,https://i.ebayimg.com/thumbs/images/g/GpEAAOSwsPJkeVhV/s-l300.jpg,Brand New,Brand New
109,62,Nike Air Jordan 1 Mid Shoes Lucky Green White DQ8426-301 Men's or GS NEW,106.19,,,https://i.ebayimg.com/thumbs/images/g/v8EAAOSwQPJkRBzm/s-l300.jpg,Brand New,Brand New
106,59,Nike Air Jordan Pro Strong Black University Red DC4818-061 Men's Shoes NEW,105.99,,,https://i.ebayimg.com/thumbs/images/g/wLoAAOSwqttkcOHy/s-l300.jpg,Brand New,Brand New
88,41,Nike Dunk Low Team Gold White Mens DV0833-100 NEW,104.99,,,https://i.ebayimg.com/thumbs/images/g/koAAAOSw0RpkOGyA/s-l300.jpg,Brand New,Brand New
121,74,Nike Air Jordan 1 Mid 'Ice Blue' Black White UNC GS & PS Sizes 555112-401,104.99,,,https://i.ebayimg.com/thumbs/images/g/PccAAOSw5GpjutNs/s-l300.jpg,Brand New,
114,67,Nike Air Jordan 1 Mid Alternate Bred Chicago DQ8426-060 Mens New 2022,104.87,,,https://i.ebayimg.com/thumbs/images/g/gZYAAOSwKKFj9AYO/s-l300.jpg,Brand New,Brand New
89,42,Nike Air Jordan 1 Low Shoes Lucky Green Black 553558-065 Men's or GS NEW,101.69,,,https://i.ebayimg.com/thumbs/images/g/dHQAAOSw7ApkVXei/s-l300.jpg,Brand New,Brand New
92,45,Nike Air Jordan 3 Retro Shoes White Cement Reimagined DN3707-100 Men's GS PS TD,100.99,,,https://i.ebayimg.com/thumbs/images/g/6SsAAOSw9BpkJJNt/s-l300.jpg,Brand New,Brand New
80,33,Nike Air Max Excee Shoes White Pure Platinum CD4165-100 Men's Multi Size NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/eqEAAOSwGlFisfDs/s-l300.jpg,Brand New,Brand New
77,30,Nike Air Force 1 '07 Shoes Triple White CW2288-111 Men's Multi Sizes NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/zjYAAOSwWw1kbkNS/s-l300.jpg,Brand New,Brand New
76,29,Nike Air Jordan 1 KO Low Kentucky Dark Royal Blue White DX4981-103 Mens New,100.0,,,https://i.ebayimg.com/thumbs/images/g/oTEAAOSwL4ZkZ~QU/s-l300.jpg,Brand New,Brand New
94,47,Nike Air Force 1 '07 Shoes White Black CT2302-100 Men's Multi Sizes NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/4PMAAOSwl9Bj~kBX/s-l300.jpg,Brand New,Brand New
70,23,Nike Cortez '23 Shoes White Black Photo Blue DM4044-100 Men's Multi Sizes NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/GpsAAOSwIaVkRp7h/s-l300.jpg,Brand New,Brand New
66,19,Nike Air Jordan 1 Low 553558-066 Black Gym Red White Bred Men's DS NEW BOX Retro,100.0,,,https://i.ebayimg.com/thumbs/images/g/B04AAOSwaepkbQ1Q/s-l300.jpg,Brand New,Brand New
65,18,Nike Air Force 1 '07 Shoes White Team Red CZ0326-100 Men's Multi Size NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/NywAAOSweHhkJd7E/s-l300.jpg,Brand New,Brand New
87,40,"Nike Air Jordan 1 Mid Shoes ""Aquatone"" White Celestial Gold DQ8426-400 Mens & GS",100.0,,,https://i.ebayimg.com/thumbs/images/g/LAMAAOSwoipkY-Cf/s-l300.jpg,Brand New,Brand New
115,68,Nike Air Force 1 '07 Shoes Black White CT2302-002 Men's Multi Sizes NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/P5MAAOSwlT1j9l8j/s-l300.jpg,Brand New,Brand New
116,69,"Nike Air Force 1 Low Shoes ""Four Horsemen"" White Green FB9128-100 Mens Sizes NEW",100.0,,,https://i.ebayimg.com/thumbs/images/g/1VMAAOSwHT5kUnlV/s-l300.jpg,Brand New,Brand New
119,72,Nike Air Force 1 '07 White CW2288-111,100.0,,,https://i.ebayimg.com/thumbs/images/g/lNwAAOSwMjVfRfh-/s-l300.jpg,Brand New,
56,9,Nike Air Jordan 1 Low 553558-066 Black Gym Red White Bred Men's DS NEW BOX Retro,100.0,,,https://i.ebayimg.com/thumbs/images/g/B04AAOSwaepkbQ1Q/s-l300.jpg,Brand New,Brand New
55,8,Nike Air Force 1 '07 Shoes White Team Red CZ0326-100 Men's Multi Size NEW,100.0,,,https://i.ebayimg.com/thumbs/images/g/NywAAOSweHhkJd7E/s-l300.jpg,Brand New,Brand New
124,77,Nike Air Max 90 Blue Chill FD0734-442 Men's New,100.0,,,https://i.ebayimg.com/thumbs/images/g/EfYAAOSwFOpkfr-s/s-l300.jpg,Brand New,
117,70,Nike Air Jordan 1 Retro Mid Black Fire Red White 2022 554724-079 Men's or GS NEW,99.99,,,https://i.ebayimg.com/thumbs/images/g/o1oAAOSwAHhkERTQ/s-l300.jpg,Brand New,Brand New
62,15,Nike Air Max 90 Snowflake DQ0789-001 Men's Size 9 - 13 Shoes #112,99.97,,,https://i.ebayimg.com/thumbs/images/g/hxEAAOSwro9kcWNc/s-l300.jpg,Brand New,Brand New
52,5,Nike Air Max 90 Snowflake DQ0789-001 Men's Size 9 - 13 Shoes #112,99.97,,,https://i.ebayimg.com/thumbs/images/g/hxEAAOSwro9kcWNc/s-l300.jpg,Brand New,Brand New
5,5,NIKE Air Force 1 Type Sneakers Shoes Shoe New NWT,99.0,Size: 7,4.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/23/646d681e7dfcc283eb076438/s_646d6839932a8a5482087f45.jpg,,
11,11,Nike NEW Air Max INTRLK Slate White Women's Shoe Size 9 NWT,94.0,Size: 9,7.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/02/27/63fce06c97b5d05cb5129f2d/s_63fce0ca92e49160f397a29e.jpg,,
50,3,Nike Air Jordan 1 Mid Banned Black Red White 554724-074 Mens and GS New,89.99,,,https://i.ebayimg.com/thumbs/images/g/mw4AAOSw-2JhvrjU/s-l300.jpg,Brand New,Brand New
90,43,New NIKE Air Max SC Athletic Sneakers shoes casual Mens white red navy 8-12,89.95,,,https://i.ebayimg.com/thumbs/images/g/qPoAAOSw6k5jDirc/s-l300.jpg,Brand New,Brand New
110,63,Nike Men's Jordan Access Bred Athletic Basketball Shoes Sneakers Trainers New,89.95,,,https://i.ebayimg.com/thumbs/images/g/GmMAAOSwF~pkSGfl/s-l300.jpg,Brand New,Brand New
33,33,Nike Air Zoom Pegasus 38 Women's Burnt Orange Habenero Red Shoes NWOT Size 8.5 NWT,89.0,Size: 8.5,6.0,,,
16,16,Nike Woven Windbreaker Jacket NWT,85.0,Size: M,2.0,,,
49,2,Nike Air Force 1 Low White '07 CW2288-111 NEW - DAMAGED BOX,85.0,,,https://i.ebayimg.com/thumbs/images/g/1O8AAOSwBAthThRv/s-l300.jpg,Brand New,Brand New
78,31,Nike Dunk High Black White Panda 2021 DD1399-105 Mens New,85.0,,,https://i.ebayimg.com/thumbs/images/g/--sAAOSwCOtkOtdt/s-l300.jpg,Brand New,Brand New
60,13,Nike Air Force 1 Low White '07 CW2288-111 NEW - DAMAGED BOX,85.0,,,https://i.ebayimg.com/thumbs/images/g/1O8AAOSwBAthThRv/s-l300.jpg,Brand New,Brand New
85,38,Nike Air Max SC Men's Low Top Athletic Gym Workout Running Walking Sneakers,84.99,,,https://i.ebayimg.com/thumbs/images/g/hpcAAOSw8UNkYQMj/s-l300.jpg,Brand New,Brand New
15,15,Nike Sportswear NSW Men's Pullover Hoodie,80.0,Size: XS,6.0,,,
23,23,Nike Air Max 97 Bright Citron,80.0,Size: 11.5,,,,
71,24,Nike Dunk Low Retro Black White Panda Men Women Gs Ps Td Size Summer Sale!,79.97,,,https://i.ebayimg.com/thumbs/images/g/4RkAAOSwdZVji~eF/s-l300.jpg,Brand New,Brand New
103,56,Nike Air Presto Black Blue Orange DV0776-010 Men Size 8-14 NEW Runner Trainer,73.88,,,https://i.ebayimg.com/thumbs/images/g/B74AAOSwOd1kTEMS/s-l300.jpg,Brand New,Brand New
84,37,"Nike Mens Air Max Excee in White/Black-Pure Platinum, Sneakers Shoes, CD4165-100",73.0,,,https://i.ebayimg.com/thumbs/images/g/7HoAAOSwCBFjz~jh/s-l300.jpg,Brand New,Brand New
51,4,Nike Air Force One 1 Low Top White Men/Women/GS/PS/Toddler/Crib Sz 1c-15 ,69.99,,,https://i.ebayimg.com/thumbs/images/g/fG8AAOSwsAtd16dg/s-l300.jpg,Brand New,Brand New
82,35,Nike AIR MONARCH IV Men White Blue 102 Walking Shoe Medium & WIDE WIDTH 4E EEEE,64.95,,,https://i.ebayimg.com/thumbs/images/g/6bEAAOSw9-hizdmb/s-l300.jpg,Brand New,Brand New
113,66,Nike AIR MONARCH IV Mens Black 001 Walking Shoes Medium & WIDE WIDTH 4E EEEE,64.95,,,https://i.ebayimg.com/thumbs/images/g/Kw0AAOSwQRJgyQkX/s-l300.jpg,Brand New,Brand New
12,12,Nike Womens Flex Experience Shoes Size 9 Comfort Athletic Running Gym EUC,59.0,Size: 9,3.0,,,
47,0,Nike Pro Womens Grx Dri-fit Full Leggings,55.0,,,https://i.ebayimg.com/thumbs/images/g/HK8AAOSwYO9kBxAS/s-l300.jpg,Brand New,Brand New
1,1,Nike Air Uptempo Blue Black Yellow Women's Sneaker 002861 size 5youth/6.5womens,53.0,Size: 6.5,5.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/04/25/64486a62fe250484d2b147de/s_64486a654bc655683b5b3d06.jpeg,,
41,41,Nike Air Zoom Pulse Nurse Medical Shoes Black/ Blue CT1629-001 Men's Sz 8.5,50.0,Size: 8.5,1.0,,,
8,8,Men’s Nike Giannis Antetokounmpo Mid Basketball Shoe,50.0,Size: 11.5,6.0,https://di2ponv0v5otw.cloudfront.net/posts/2022/11/05/6367041c3b982a4677e7973d/s_6367043183cbece35b7958b4.jpg,,
38,38,Nike Airmax 95 White Blue Red Sneakers size 7youth/8.5womens 002058,46.0,Size: 8.5,11.0,,,
36,36,Nike Air Foamposite One Midnight Navy Basketball Sneakers Size 5Y Blue Gum,35.0,Size: 5 (Big Boy),,,,
28,28,Nike Women's Atlanta Falcons City Roll Black T-Shirt,35.0,Size: XL,,,,
29,29,Nike Yoga Tank Top Small NWT,35.0,Size: S,7.0,,,
26,26,Like New! Nike Huarache Run,30.0,Size: 7,28.0,,,
9,9,Nike Zoomy Fly 3 Vaporweave Pink Womens US Size 9 AT8241-591 Running Shoes,29.0,Size: 9,1.0,https://di2ponv0v5otw.cloudfront.net/posts/2022/07/26/62e09db4948fa02bc0d594af/s_62e09e738da5c91b51ba1878.jpeg,,
2,2,Nike tshirt NWT,25.0,Size: Various,5.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/17/64656f6e91e0539aa05ecc89/s_64656fc1bd66cddd066be9ac.jpg,,
20,20,NWOT Nike Dri-Fit Running Capri Tights,25.0,Size: XS,,,,
37,37,Nike Jr Bravata II FG Girl's Soccer Cleats Children Size 10C Pink 844442-600,24.0,Size: 10 (Toddler Girl),,,,
39,39,Nike Zoom Strike,24.0,Size: 9.5,3.0,,,
30,30,Men's Nike Gray Lounge Shorts Size Small,20.0,Size: S,1.0,,,
13,13,Nike outfit 24m,20.0,Size: 24M,,,,
32,32,Nike Dry-Fit pink racerback tank,20.0,Size: S,,,,
40,40,Green Nike Dri-Fit Athletic Shorts,19.0,Size: M,5.0,,,
43,43,Nike Fit Dry womans hot Pink run shirt crew neck size xl,18.0,Size: XL,1.0,,,
27,27,Nike Women's CZ9086-631 Tank Top Size XS NWT,18.0,Size: XS,2.0,,,
46,46,Womens Nike shirt size large,18.0,Size: L,1.0,,,
0,0,Nike Women's CZ9086-631 Tank Top Size Large NWT,18.0,Size: L,19.0,https://di2ponv0v5otw.cloudfront.net/posts/2022/04/20/62606062c693bd051cbedbb0/s_62606075941f171506d78359.jpg,,
18,18,Nike half zip - size medium green,18.0,Size: M,11.0,,,
44,44,Dri-fit Nike Running shorts,17.0,Size: XS,,,,
25,25,Nike Dri-Fit Basketball Athletic Shorts With Pockets Blue Large,15.0,Size: L,4.0,,,
17,17,Nike S Black Capri Workout Pant,14.0,Size: S,,,,
19,19,Nike Fit-Dry Pink Key Hole Built-In Bra Racerback Tank Top size Medium,13.0,Size: M,1.0,,,
45,45,Mens Blue Nike T Shirt,13.0,Size: M,,,,
42,42,𝅺YOUTH Nike Dri-fit running shorts,12.0,Size: XL (Girl),2.0,,,
22,22,Nike Gray Dri-Fit Short Sleeve Shirt,12.0,Size: XL,1.0,,,
4,4,🌹Nike Dri Fit Ole Miss Rebels Football 1/4 Zip Pullover Sweatshirt Fitnes…,12.0,Size: S,2.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/06/03/647bcd97f51a0f275c987673/s_647bcd97f51a0f275c987674.jpg,,
10,10,Women’s Nike Tempo Shorts Size Small LIKE NEW CONDITION,11.0,Size: S,2.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/10/645b7b7efb730403e0c222ee/s_645b7b8bfed51f13e54ba064.jpg,,
31,31,NIKE Dri-Fit Lightweight Purple Racerback Tank Top Womens Size Large,10.0,Size: L,1.0,,,
14,14,Nike shorts,7.0,Size: M,1.0,,,
